지역,권,항목,경보단계,발령시일,발령시,인구가중치,PM10,PM2.5,경보,주의보
전북,완주권,PM10,주의보,2019-11-18,16,0.00179431,1,0,0,1
전북,익산권,PM10,주의보,2019-11-18,16,0.005599113,1,0,0,1
전북,전주권,PM10,주의보,2019-11-18,16,0.012732437,1,0,0,1
대전,서부권,PM10,주의보,2019-11-18,15,0.018674594,1,0,0,1
전남,서부권,PM10,주의보,2019-11-18,15,0.018674594,1,0,0,1
충북,중부권,PM10,주의보,2019-11-18,15,0.020966376000000002,1,0,0,1
전북,군산권,PM10,주의보,2019-11-18,14,0.005255895,1,0,0,1
경기,남부권,PM10,주의보,2019-11-18,14,0.023576725,1,0,0,1
경기,동부권,PM10,주의보,2019-11-18,14,0.0032048520000000002,1,0,0,1
전북,부안권,PM10,주의보,2019-11-18,14,0.001036952,1,0,0,1
충남,북부권,PM10,주의보,2019-11-18,14,0.056789935,1,0,0,1
충남,서부권,PM10,주의보,2019-11-18,14,0.018674594,1,0,0,1
인천,동남부권,PM10,주의보,2019-11-18,13,0.041310056,1,0,0,1
서울,서울권,PM10,주의보,2019-11-18,13,0.18929765,1,0,0,1
인천,영종권,PM10,주의보,2019-11-18,13,0.00131465,1,0,0,1
경기,중부권,PM10,주의보,2019-11-18,13,0.020966376000000002,1,0,0,1
인천,강화권,PM10,주의보,2019-11-18,12,0.001345985,1,0,0,1
경기,북부권,PM10,주의보,2019-11-18,12,0.056789935,1,0,0,1
인천,서부권,PM10,주의보,2019-11-18,12,0.018674594,1,0,0,1
전북,익산권,PM2.5,주의보,2019-11-09,23,0.005599113,0,1,0,1
충북,북부권,PM2.5,주의보,2019-11-09,12,0.056789935,0,1,0,1
충북,북부권,PM10,주의보,2019-11-06,13,0.056789935,1,0,0,1
충북,북부권,PM2.5,주의보,2019-11-06,13,0.056789935,0,1,0,1
경기,남부권,PM2.5,주의보,2019-11-03,13,0.023576725,0,1,0,1
충남,북부권,PM2.5,주의보,2019-11-03,13,0.056789935,0,1,0,1
충북,북부권,PM2.5,주의보,2019-11-03,13,0.056789935,0,1,0,1
충북,중부권,PM2.5,주의보,2019-11-03,13,0.020966376000000002,0,1,0,1
부산,남부권,PM10,주의보,2019-11-01,14,0.023576725,1,0,0,1
경남,남해권,PM10,주의보,2019-11-01,14,0.000848746,1,0,0,1
전북,순창권,PM10,주의보,2019-11-01,14,0.000552224,1,0,0,1
전북,진안권,PM10,주의보,2019-11-01,14,0.0004999819999999999,1,0,0,1
전북,고창권,PM10,주의보,2019-11-01,13,0.001079932,1,0,0,1
광주,광주권,PM10,주의보,2019-11-01,13,0.028338261,1,0,0,1
전북,군산권,PM2.5,주의보,2019-11-01,13,0.005255895,0,1,0,1
충북,남부권,PM10,주의보,2019-11-01,13,0.023576725,1,0,0,1
전북,완주권,PM10,주의보,2019-11-01,13,0.00179431,1,0,0,1
전북,임실권,PM10,주의보,2019-11-01,13,0.000562342,1,0,0,1
경남,함안권,PM10,주의보,2019-11-01,13,0.001278314,1,0,0,1
전북,김제권,PM2.5,주의보,2019-11-01,12,0.001632331,0,1,0,1
대구,대구권,PM10,주의보,2019-11-01,12,0.047436372000000004,1,0,0,1
대전,동부권,PM10,주의보,2019-11-01,12,0.0032048520000000002,1,0,0,1
전남,동부권,PM10,주의보,2019-11-01,12,0.0032048520000000002,1,0,0,1
충북,북부권,PM10,주의보,2019-11-01,12,0.056789935,1,0,0,1
대전,서부권,PM10,주의보,2019-11-01,12,0.018674594,1,0,0,1
전남,서부권,PM10,주의보,2019-11-01,12,0.018674594,1,0,0,1
울산,울산권,PM10,주의보,2019-11-01,12,0.022336818999999997,1,0,0,1
전북,익산권,PM2.5,주의보,2019-11-01,12,0.005599113,0,1,0,1
전북,전주권,PM10,주의보,2019-11-01,12,0.012732437,1,0,0,1
전북,정읍권,PM10,주의보,2019-11-01,12,0.002150778,1,0,0,1
충북,중부권,PM10,주의보,2019-11-01,12,0.020966376000000002,1,0,0,1
경남,진주권,PM10,주의보,2019-11-01,12,0.0067580209999999995,1,0,0,1
경남,거제권,PM10,주의보,2019-11-01,11,0.004830666,1,0,0,1
경남,고성권,PM10,주의보,2019-11-01,11,0.0010171260000000001,1,0,0,1
전북,김제권,PM10,주의보,2019-11-01,11,0.001632331,1,0,0,1
경북,동부권,PM10,주의보,2019-11-01,11,0.0032048520000000002,1,0,0,1
전북,부안권,PM10,주의보,2019-11-01,11,0.001036952,1,0,0,1
전북,익산권,PM10,주의보,2019-11-01,11,0.005599113,1,0,0,1
경남,통영권,PM10,주의보,2019-11-01,11,0.002556706,1,0,0,1
경남,함양권,PM10,주의보,2019-11-01,10,0.000771211,1,0,0,1
전북,군산권,PM10,주의보,2019-11-01,9,0.005255895,1,0,0,1
제주,제주권,PM10,주의보,2019-11-01,7,0.013055323999999998,1,0,0,1
강원,영동북부,PM10,주의보,2019-10-31,23,0.000530393,1,0,0,1
강원,영서북부,PM10,주의보,2019-10-31,22,0.005473033,1,0,0,1
